,title,link,image,author,price,discount,publisher,isbn,description,pubdate
0,크리스마스 캐럴(일반북),http://book.naver.com/bookdb/book_detail.php?bid=17690014,https://bookthumb-phinf.pstatic.net/cover/176/900/17690014.jpg?type=m1&udate=20201222,스 디킨스,8800,7920,자화상,1191200086 9791191200089,"전 세계에서 가장 유명한
크리스마스 소설, 찰스 디킨스의 〈크리스마스 캐럴〉“이제부터는 성심껏 크리스마스를 기리고 1년 내내 크리스마스의 의미를 되새기도록 할 것입니다. 과거와 현재와 미래를 살겠습니다. 세 분 유령님들을 항상 제 마음속에 모시고 그 가르침을 잊지 않도록 하겠습니다. 그러니 제발... ",20201223
1,일반공격이 전체공격에 2회 공격인 엄마는 좋아하세요? 6,http://book.naver.com/bookdb/book_detail.php?bid=15434916,https://bookthumb-phinf.pstatic.net/cover/154/349/15434916.jpg?type=m1&udate=20190909,이나카 다치마,7000,6300,디앤씨미디어,1127852213 9791127852214,"“엄마는 참 멋진 가게라고 생각해!”
고블린 토벌 퀘스트에서는 고블린에게 요리를 해주고, 학교에서는 임시 교사로서 어머니의 위대함을 설파하는
믿음직한 엄마, 오오스키 마마코가 부모자식간의 고민을 해결해주는 【엄마 해결사】를 개업한다.
한 나라의 여왕과 왕자, 어리광쟁이 딸 때문에 고민하는 어머니... ",20190910
2,일반공격이 전체공격에 2회 공격인 엄마는 좋아하세요? 1,http://book.naver.com/bookdb/book_detail.php?bid=13380212,https://bookthumb-phinf.pstatic.net/cover/133/802/13380212.jpg?type=m1&udate=20180430,이나카 다치마,7000,6300,디앤씨미디어,1127844040 9791127844042,"“이제부터 이 엄마와 함께 실컷 모험을 하는 거야.”
“맙소사…….”
고교생 오오스키 마사토는 그렇게 염원하던 게임세계로 전송되지만,
어찌된 영문인지 그의 어머니이자 아들이라면 껌뻑 죽는 마마코도 따라오는데?!
길드에서는 「아들의 연인이 될지도 모르는 애들이니까」라는 이유로 
마사토가 고른... ",20180310
3,일반공격이 전체공격에 2회 공격인 엄마는 좋아하세요? 5,http://book.naver.com/bookdb/book_detail.php?bid=14841468,https://bookthumb-phinf.pstatic.net/cover/148/414/14841468.jpg?type=m1&udate=20190820,이나카 다치마,7000,6300,디앤씨미디어,1127850393 9791127850395,"“만든 샐러드는 참가상 삼아서 가져가도 되는구나.”
게임 세계에서의 넘버원 어머니를 정하는 천하제일 모도회(母道會)에 출전하게 된 오오스키 마마코.
마마코가 우승후보로 거론되며 주목을 받고 있는 가운데,
스태프로 대회에 참가한 마사토 또한 다양한 종족의 어머니들에게 사랑받으며 하렘 상태가... ",20190510
4,일반공격이 전체공격에 2회 공격인 엄마는 좋아하세요? 4,http://book.naver.com/bookdb/book_detail.php?bid=14486943,https://bookthumb-phinf.pstatic.net/cover/144/869/14486943.jpg?type=m1&udate=20190201,이나카 다치마,7000,6300,디앤씨미디어,1127848739 9791127848736,"“마 군이 이 엄마한테 어리광을 부리고 싶어 하다니…… 정말 꿈만 같아.”
돈에 눈이 먼 나머지, 마마코 몰래 카지노에서 거금을 벌려고 하는 와이즈 일행의 계획에 따라 마사토는 어머니와 데이트를 하게 됐다.
마사토는 커플 드링크, 엄마 샴푸 등을 무사히 마쳤지만
전 재산을 날린 걸로 모자라 빚까지 진... ",20190210
5,일반공격이 전체공격에 2회 공격인 엄마는 좋아하세요? 2,http://book.naver.com/bookdb/book_detail.php?bid=13571670,https://bookthumb-phinf.pstatic.net/cover/135/716/13571670.jpg?type=m1&udate=20180430,이나카 다치마,7000,6300,디앤씨미디어,1127844938 9791127844936,"“마 군, 이것 좀 봐!”&#x0D;“……저기 말이야.”&#x0D;“눈물 날 것 같으니까 아무 말도 하지 마.”&#x0D;게임 세계에 따라온 모친, 마마코가 너무 세서 존재의의를 잃어가던 마사토 일행은&#x0D;강화 아이템을 손에 넣을 수 있다는 학교 시험 운용 퀘스트에 참가하기로 했다.&#x0D;그리고 학교에서 만난 치유사... ",20180510
6,일반공격이 전체공격에 2회 공격인 엄마는 좋아하세요? 3,http://book.naver.com/bookdb/book_detail.php?bid=13987269,https://bookthumb-phinf.pstatic.net/cover/139/872/13987269.jpg?type=m1&udate=20180831,이나카 다치마,7000,6300,디앤씨미디어,1127846213 9791127846213,"엄마보다 훨씬 강해져서 먼치킨물의 주인공이 된다는 꿈을 포기 못한 마사토는
『공략하신 분께는 그 어떤 소원이라도 하나만 이뤄드립니다!』라는 
소문의 신축 타워 던전을 공략하기로 하지만…….
“나는 반항조직 리베레 사천왕 중 한 명, 『모역(母逆)의 아만테』야.”
마사토 일행의 공략을 방해하는 적이... ",20180910
7,"슬라임을 잡으면서 300년, 모르는 사이에 레벨MAX가 되었습니다 스핀오프 (일반 공무원으로 일하면서 1500년, 마왕의 힘으로 장관이 되어버렸습니다, Novel Engine)",http://book.naver.com/bookdb/book_detail.php?bid=17724695,https://bookthumb-phinf.pstatic.net/cover/177/246/17724695.jpg?type=m1&udate=20210119,모리타 키세츠 지음|베니오 그림|도영명,10000,9000,영상출판미디어,1166255069 9791166255069,"인기 소설 「슬라임을 잡으면서 300년~」의 스핀오프가 등장!
주인공은 고원의 마녀 아즈사의 든든한 ‘언니’ 바알제붑!!수수하게, 눈에 안 띄게── 마족 나라의 공무원(만년 말단)으로 일하는 바알제붑. 출세하는 마음도 없고, 하루하루 적당히 사는 것이 인생의 낙. 그렇게 평소처럼 마음 편한 창가 자리... ",20210120
8,일반화학실험,http://book.naver.com/bookdb/book_detail.php?bid=1542042,,조기선,6500,,학문사,8970131884 9788970131887,,200211
9,흔해빠진 직업으로 세계최강 5 (일반),http://book.naver.com/bookdb/book_detail.php?bid=12506773,https://bookthumb-phinf.pstatic.net/cover/125/067/12506773.jpg?type=m1&udate=20170901,시라코메 료,14800,,디앤씨미디어,1127842579 9791127842574,"카오리를 파티에 맞아들이고 뮤의 고향인 【바다 위 마을 에리센】을 향하고자, 브리제로 그류엔 대사막을 하염없이 달리는 하지메 일행. 그런 도중 사막에서 샌드웜에게 공격받는 앙카지 공국의 비즈를 구출한다. 그가 말하길 자신은 원인을 알 수 없는 수질 오염으로 쓰러진 국민을 구할 방법을 찾아 이웃... ",20170910
10,흔해빠진 직업으로 세계최강 소설 6권 + 만화 1권 합본 세트 (일반 특별판),http://book.naver.com/bookdb/book_detail.php?bid=13272631,https://bookthumb-phinf.pstatic.net/cover/132/726/13272631.jpg?type=m1&udate=20180201,시라코메 료,18400,16560,디앤씨미디어,1127843982 9791127843984,"소설:【메르지네 해저 유적】을 공략하고 7대 미궁 중 하나인【하르치나 대수해】로 가던 하지메 일행은 가도에서 하일리히 왕국 왕녀 릴리아나와 재회하고 경악스러운 소식을 접한다. ─변심한 하지메를 믿고, 가르치고, 이끌어준 아이코가 납치됐다. “일단 선생님을 구하러 가야겠어.”하지메는 선택했다.... ",20180210
11,"재혼 황후 3 (알파타르트 장편소설,일반판)",http://book.naver.com/bookdb/book_detail.php?bid=16330680,https://bookthumb-phinf.pstatic.net/cover/163/306/16330680.jpg?type=m1&udate=20201114,알파타르트,14000,12600,해피북스투유,116479115X 9791164791156,"2019 네이버웹소설 최고의 화제작!
완벽한 황후였다. 그러나 황제는 도움이 될 황후가 필요없다고 한다. 그가 원하는 건 배우자이지 동료가 아니라 한다. 황제는 나비에를 버리고 노예 출신의 여자를 옆에 두었다. 그래도 괜찮았다. 황제가 그녀에게 다음 황후 자리를 약속하는 걸 듣기 전까진. 나비에는 고민... ",20200428
12,재혼 황후 2 (일반판),http://book.naver.com/bookdb/book_detail.php?bid=15912079,https://bookthumb-phinf.pstatic.net/cover/159/120/15912079.jpg?type=m1&udate=20210121,알파타르트,14000,12600,해피북스투유,1164790528 9791164790524,"2019 네이버웹소설 최고의 화제작!
완벽한 황후였다. 그러나 황제는 도움이 될 황후가 필요없다고 한다. 그가 원하는 건 배우자이지 동료가 아니라 한다. 황제는 나비에를 버리고 노예 출신의 여자를 옆에 두었다. 그래도 괜찮았다. 황제가 그녀에게 다음 황후 자리를 약속하는 걸 듣기 전까진. 나비에는 고민... ",20191230
13,"재혼 황후 1 (일반판,알파타르트 장편소설)",http://book.naver.com/bookdb/book_detail.php?bid=15405177,https://bookthumb-phinf.pstatic.net/cover/154/051/15405177.jpg?type=m1&udate=20191205,알파타르트,14000,12600,해피북스투유,1164790285 9791164790289,2019 네이버웹소설 최고의 화제작!완벽한 황후였다. 그러나 황제는 도움이 될 황후가 필요없다고 한다. 그가 원하는 건 배우자이지 동료가 아니라 한다. 황제는 나비에를 버리고 노예 출신의 여자를 옆에 두었다. 그래도 괜찮았다. 황제가 그녀에게 다음 황후 자리를 약속하는 걸 듣기 전까진. 나비에는 고민 끝에... ,20191018
14,얼굴이 빨갛게 된 원숭이 (신앙일반),http://book.naver.com/bookdb/book_detail.php?bid=7041,https://bookthumb-phinf.pstatic.net/cover/000/070/00007041.jpg?type=m1&udate=20130522,박재목,5000,,한국장로교출판사,8939808339 9788939808331,,19980420
15,일반적이지 않은 독자,http://book.naver.com/bookdb/book_detail.php?bid=6333640,https://bookthumb-phinf.pstatic.net/cover/063/336/06333640.jpg?type=m1&udate=20150718,앨런 베넷,10000,,문학동네,8954611575 9788954611572,"영국 여왕, 책과 사랑에 빠지다!책의 놀라운 힘을 보여주는 유쾌한 소설『일반적이지 않은 독자』. 40년 넘게 대중적인 사랑을 받아온 영국의 극작가이자 소설가인 앨런 베넷의 작품으로, 뒤늦게 책과 사랑에 빠진 영국 여왕의 이야기를 그리고 있다. 어느 날 버킹엄 궁에 이동도서관이 찾아오고, 우연히 그곳에... ",20100727
16,"망각에 관한 일반론 (2016 맨부커 인터내셔널상 최종후보작,2017 국제 더블린 문학상 수상)",http://book.naver.com/bookdb/book_detail.php?bid=13270365,https://bookthumb-phinf.pstatic.net/cover/132/703/13270365.jpg?type=m1&udate=20190828,주제 에두아르두 아구아루사,13000,11700,구민사,1158135130 9791158135133,"한강의 &lt;채식주의자&gt;와 마지막까지 경합한 작품이야기는 앙골라 독립 전날, 낯이 설은 것에 대한 두려움이 유난히 컸던 주인공 루도가 프레지우 두스 인베자도스 아파트에 혼자 남게 되면서 시작된다. 주인공 루도는 낯선 사람에게 몹쓸 짓을 당한 이후 자신다움을 잃었고, 이어 부모님을 잃었으며 언니와... ",20180119
